method,recording,input_snr_db,output_snr_db,snr_improvement_db
Lowpass,p232_001,5.000000000000001,9.069682328927213,4.069682328927212
Lowpass,p232_002,5.000000000000002,8.962538963631024,3.9625389636310224
Lowpass,p232_003,5.000000000000001,8.850803418955715,3.8508034189557145
Lowpass,p232_005,5.0,8.83274023165755,3.8327402316575494
Lowpass,p232_006,4.999999999999999,9.064854448385962,4.0648544483859625
Lowpass,p232_007,5.000000000000001,9.250113160058437,4.250113160058436
Lowpass,p232_009,4.999999999999999,9.484265049989473,4.484265049989474
Lowpass,p232_010,5.0,9.613059987545027,4.613059987545027
Lowpass,p232_011,5.000000000000001,9.284266406362127,4.284266406362126
Lowpass,p232_012,5.000000000000001,9.07662173951945,4.076621739519449
Lowpass,p232_013,5.000000000000001,9.165577029637982,4.165577029637981
Lowpass,p232_014,4.999999999999998,9.095471616087647,4.095471616087648
Lowpass,p232_015,4.999999999999999,9.149464689421727,4.149464689421728
Lowpass,p232_016,5.000000000000001,9.213601145275355,4.213601145275354
Lowpass,p232_017,4.999999999999998,9.1022482108309,4.102248210830902
Lowpass,p232_019,4.999999999999999,8.86280393653389,3.862803936533891
Lowpass,p232_020,5.000000000000001,9.339526283967897,4.3395262839678965
Lowpass,p257_001,4.999999999999999,9.421768023355671,4.421768023355672
Lowpass,p257_002,4.999999999999999,9.365501528180658,4.365501528180659
Lowpass,p257_003,5.0,9.214402934023978,4.214402934023978
Lowpass,p257_004,5.000000000000001,9.51193868194666,4.511938681946659
Lowpass,p257_006,5.000000000000001,9.447032781010675,4.447032781010674
Lowpass,p257_007,4.999999999999999,9.508236088974044,4.508236088974045
Lowpass,p257_008,4.999999999999999,9.294015300804775,4.294015300804776
Lowpass,p257_009,5.000000000000001,9.533236110052313,4.533236110052312
Lowpass,p257_010,5.0,9.529441257843372,4.529441257843372
Lowpass,p257_011,5.000000000000001,9.459441923057504,4.459441923057503
Lowpass,p257_012,4.999999999999999,9.39162365986342,4.391623659863421
Lowpass,p257_013,5.000000000000001,9.407733845165996,4.407733845165995
Lowpass,p257_014,4.999999999999999,9.361197363143408,4.3611973631434084
Lowpass,p257_015,5.000000000000001,9.231184967150005,4.231184967150004
Lowpass,p257_016,5.0,9.45994003069061,4.4599400306906105
Lowpass,p257_017,5.000000000000001,9.426090936304268,4.426090936304267
Lowpass,p257_018,5.0,9.526986829535252,4.526986829535252
Lowpass,p257_019,5.000000000000002,9.367000358939224,4.367000358939222
